Geography,year,Life Expectancy at Birth
Japan,2018,84.2
Kazakhstan,2018,73.2
Kiribati,2018,68.1
Kyrgyzstan,2018,71.4
Laos,2018,67.6
"Macau, China",2018,84.1
Malaysia,2018,76.0
Maldives,2018,78.6
Mongolia,2018,69.7
Myanmar,2018,66.9
Nepal,2018,70.5
New Caledonia,2018,77.4
North Korea,2018,72.1
Pakistan,2018,67.1
Papua New Guinea,2018,64.3
Philippines,2018,71.1
Samoa,2018,73.2
Singapore,2018,83.3
Solomon Islands,2018,72.8
South Korea,2018,82.6
Sri Lanka,2018,76.8
Taiwan,2018,80.8
Tajikistan,2018,70.9
Thailand,2018,76.9
Tonga,2018,70.8
Turkmenistan,2018,68.1
Uzbekistan,2018,71.6
Vanuatu,2018,70.3
Vietnam,2018,75.3
Australasia,2018,82.6
Australia,2018,82.7
New Zealand,2018,81.9
Eastern Europe,2018,74.3
Albania,2018,79.0
Belarus,2018,74.2
Bosnia and Herzegovina,2018,77.3
Bulgaria,2018,75.0
Croatia,2018,78.2
Czech Republic,2018,79.1
Estonia,2018,78.5
Georgia,2018,73.6
Hungary,2018,76.2
Kosovo,2018,72.1
Latvia,2018,75.1
Lithuania,2018,76.0
Moldova,2018,70.6
Montenegro,2018,77.0
North Macedonia,2018,76.7
Poland,2018,77.7
Romania,2018,75.3
Russia,2018,72.9
Serbia,2018,75.9
Slovakia,2018,77.4
Slovenia,2018,81.5
Ukraine,2018,72.0
Latin America,2018,75.5
Antigua and Barbuda,2018,76.9
Argentina,2018,76.5
Aruba,2018,76.2
Bahamas,2018,73.8
Barbados,2018,79.1
Belize,2018,74.5
Bolivia,2018,71.2
Brazil,2018,75.7
Chile,2018,80.0
Colombia,2018,77.1
Costa Rica,2018,80.1
Cuba,2018,78.7
Curacao,2018,78.7
Dominican Republic,2018,73.9
Ecuador,2018,76.8
El Salvador,2018,73.1
French Guiana,2018,79.8
Grenada,2018,72.4
Guadeloupe,2018,81.9
Guatemala,2018,74.1
Guyana,2018,69.8
Haiti,2018,63.7
Honduras,2018,75.1
Jamaica,2018,74.4
Martinique,2018,82.4
Mexico,2018,75.0
Nicaragua,2018,74.3
Panama,2018,78.3
Paraguay,2018,74.1
Peru,2018,76.5
Puerto Rico,2018,80.0
St Lucia,2018,76.1
St Vincent and the Grenadines,2018,72.4
Suriname,2018,71.6
Trinidad and Tobago,2018,73.4
Uruguay,2018,77.8
US Virgin Islands,2018,80.4
Venezuela,2018,72.1
Middle East and Africa,2018,65.0
Algeria,2018,76.7
Angola,2018,60.8
Bahrain,2018,77.2
Benin,2018,61.5
Botswana,2018,69.3
Burkina Faso,2018,61.2
Burundi,2018,61.2
Cabo Verde,2018,72.8
Cameroon,2018,58.9
Central African Republic,2018,52.8
Chad,2018,54.0
Comoros,2018,64.1
"Congo, Democratic Republic",2018,60.4
Congo-Brazzaville,2018,64.3
Côte d'Ivoire,2018,57.4
Djibouti,2018,66.6
Egypt,2018,71.8
Equatorial Guinea,2018,58.4
Eritrea,2018,65.9
Eswatini,2018,59.4
Ethiopia,2018,66.2
Gabon,2018,66.2
Gambia,2018,61.7
Ghana,2018,63.8
Guinea,2018,61.2
Guinea-Bissau,2018,58.0
Iran,2018,76.5
Iraq,2018,70.5
Israel,2018,82.8
Jordan,2018,74.4
Kenya,2018,66.3
Kuwait,2018,75.4
Lebanon,2018,78.9
Lesotho,2018,53.7
Liberia,2018,63.7
Libya,2018,72.7
Madagascar,2018,66.7
Malawi,2018,63.8
Mali,2018,58.9
Mauritania,2018,64.7
Mauritius,2018,74.9
Morocco,2018,76.5
Mozambique,2018,60.2
Namibia,2018,63.4
Niger,2018,62.0
Nigeria,2018,54.3
Oman,2018,77.6
Qatar,2018,80.1
Réunion,2018,80.2
Rwanda,2018,68.7
Sao Tomé e Príncipe,2018,70.2
Saudi Arabia,2018,75.0
Senegal,2018,67.7
Seychelles,2018,73.3
Sierra Leone,2018,54.3
Somalia,2018,57.1
South Africa,2018,63.9
South Sudan,2018,57.6
Sudan,2018,65.1
Syria,2018,71.8
Tanzania,2018,65.0
Togo,2018,60.8
Tunisia,2018,76.5
Uganda,2018,63.0
